Time,Xiaomi,"Laser Egg 1","Laser Egg 2",Mean,Node,Difference
0:00,9,29,18,23.5,11,9
0:30,10,89,80,84.5,13,70
1:00,27,135,164,149.5,33,137
1:30,38,117,125,121,77.4,87
2:00,39,120,126,123,82.8,87
2:30,41,117,134,125.5,81.9,93
3:00,38,136,151,143.5,93.6,113
3:30,38,150,155,152.5,97.1,117
4:00,38,158,195,176.5,101.6,157
4:30,45,154,168,161,107.9,123
5:00,47,164,184,174,110.6,137
5:30,44,180,203,191.5,118.7,159
6:00,44,179,199,189,128.5,155
6:30,42,186,210,198,129.4,168
7:00,45,226,246,236,138.4,201
7:30,44,215,262,238.5,150,218
8:00,42,206,229,217.5,161.7,187
8:30,43,214,236,225,161.7,193
9:00,48,208,239,223.5,159.9,191
9:30,50,204,236,220,161.7,186
10:00,50,196,225,210.5,163.5,175
10:30,50,187,217,202,159,167
11:00,48,163,193,178,137.5,145
11:30,46,150,165,157.5,118.7,119
12:00,47,123,140,131.5,104.3,93
12:30,42,109,120,114.5,88.2,78
13:00,38,96,104,100,73.8,66
13:30,34,83,83,83,61.3,49
14:00,35,73,85,79,55.9,50
14:30,35,66,85,75.5,49,50
15:00,32,54,62,58,38,30
15:30,32,48,62,55,34,30
16:00,19,44,45,44.5,29,26
16:30,10,35,45,40,26,35
17:00,22,32,33,32.5,21,11
17:30,10,26,33,29.5,18,23
18:00,10,22,26,24,17,16
18:30,10,20,26,23,13,16
19:00,9,17,17,17,11,8
19:30,10,14,17,15.5,10,7
20:00,10,12,14,13,9,4
20:30,10,12,14,13,8,4
21:00,10,11,11,11,6,1
21:30,10,7,11,9,7,1
22:00,10,7,8,7.5,5,-2
22:30,9,7,8,7.5,5,-1
23:00,9,5,6,5.5,3,-3
23:30,10,5,6,5.5,2,-4
24:00,9,3,4,3.5,4,-5
24:30,9,3,4,3.5,2,-5
25:00,10,3,3,3,4,-7
25:30,10,3,3,3,2,-7
26:00,9,1,3,2,1,-6
26:30,9,1,1,1,1,-8
27:00,10,1,1,1,1,-9
27:30,10,1,1,1,0.2,-9
28:00,9,1,1,1,0.2,-8
